city,area,altitude,pollution,wind,mintemp,maxtemp,meantemp,minhumid,maxhumid,rainy,meanrain,outlook
tERXm,Mid,1900.1,15.5,N,16.6,26.9,21.75,33.4898217865271,50.07388566627229,,0,rainy
HkjTI,Mid,2096.0,39.9,SW,16.1,36.1,26.1,12.959125195652998,19.498257877059885,,0,overcast
DgHMj,High,1170.2,3.8,S,15.5,40.7,28.1,6.978792053555894,30.1364425491104,,0,rainy
oLVfM,Low,1035.9,49.7,W,17.1,38.0,27.55,41.53761190191169,65.39033596485487,,0,overcast
pftcT,High,689.4,6.8,E,15.7,41.3,28.5,3.486426110883017,92.25704537462612,,0,overcast
DpKkN,Mid,1766.6,41.9,W,15.8,37.3,26.549999999999997,3.234151198217873,30.929663644616493,,0,sunny
VDxHY,High,2161.9,8.0,S,17.9,32.5,25.2,37.949991237088504,25.419368685675362,,0,overcast
tAHXT,High,1398.8,15.3,SW,19.4,41.0,30.2,11.976091321509006,87.49915477257693,,0,sunny
JlBCm,High,1838.0,13.5,W,16.7,32.8,24.75,13.179825483239048,36.29973171297985,,0,sunny
GVSbC,Low,2128.9,7.7,W,15.3,35.4,25.35,19.889755525936266,43.16970986263918,,0,sunny
vBMlk,High,962.4,11.1,W,18.4,44.3,31.349999999999998,48.71631588062436,36.48043961627357,,0,sunny
oblqA,Low,2237.7,16.9,S,15.2,27.4,21.299999999999997,29.46017204287745,33.582323204183936,,0,rainy
dOSAs,High,2181.4,21.1,N,19.3,34.6,26.950000000000003,34.29526863080832,34.55057678077793,,0,rainy
lUIsO,High,935.2,21.3,SW,15.2,28.0,21.6,43.30640542201805,66.02326970130164,,0,sunny
GbtZW,Low,1924.6,28.7,NE,18.0,31.8,24.9,42.10416847154862,54.80623800874133,,0,rainy
skhMI,Low,1732.3,6.4,NE,17.2,26.0,21.6,10.253671280737054,46.236030784378755,,0,rainy
sfoUY,High,1944.7,38.9,E,17.7,35.6,26.65,24.857479267658313,59.16698994424585,,0,overcast
ucOXj,High,764.6,12.7,SW,18.9,29.3,24.1,3.336718026295999,77.40313748600317,,0,overcast
AKgdD,High,955.5,18.3,SW,19.5,35.5,27.5,18.63770086152301,88.90068501677963,,0,rainy
FBdpX,Low,1708.9,24.9,N,17.5,41.1,29.3,21.126058094490084,78.57633364462781,,0,rainy
CeMha,Low,2428.7,33.1,NE,16.1,34.2,25.150000000000002,40.540311455438705,90.82104287819396,,0,sunny
fkUxo,Low,1516.0,30.9,W,16.6,27.8,22.200000000000003,17.52688694428891,40.82374560324533,,0,sunny
yigeV,High,2358.0,28.2,NE,15.3,30.6,22.950000000000003,32.751857739784356,65.98116014937477,,0,overcast
NeWrA,Low,1781.9,38.8,SW,15.7,31.9,23.799999999999997,3.4635105022073,16.579851532618655,,0,overcast
GdUMK,Mid,1879.6,42.0,SW,18.8,44.4,31.6,33.16874236869891,55.37113562281417,,0,sunny
TIZeY,Mid,1379.0,10.2,NE,17.6,30.9,24.25,39.528110344297346,87.51158084356592,,0,rainy
MILKd,Mid,1097.8,10.7,N,15.2,29.1,22.15,16.01429690708158,60.33762669848032,,0,rainy
trSEp,Mid,2262.7,27.9,NE,17.9,25.7,21.799999999999997,2.269398567387499,78.33951809136639,,0,overcast
gIrNf,Low,1517.2,16.5,W,15.8,32.7,24.25,19.70870968328082,55.96135826194729,,0,overcast
CKRrq,Low,2259.4,7.5,NE,16.7,25.4,21.049999999999997,9.461944196952997,83.92268141874075,,0,sunny
jGZCd,Low,694.2,2.1,NE,17.4,30.8,24.1,2.792025069334578,99.13613646905667,,0,sunny
KPSln,Mid,1251.3,31.9,NE,19.2,38.5,28.85,12.306903529533077,54.2553072266859,,0,sunny
QyYoh,Low,1096.1,4.3,N,15.0,38.1,26.55,45.66099053186122,67.51571015500265,,0,sunny
tgSir,Mid,2305.2,23.9,E,16.1,36.2,26.150000000000002,49.47216490394056,19.927053369657482,,0,rainy
TleZi,Low,1428.6,2.6,NE,16.2,34.1,25.15,48.832883634352854,79.72541338135811,,0,sunny
NRwXD,Low,1345.1,4.3,SW,16.3,36.9,26.6,24.49551118643761,64.9560387519258,,0,overcast
LTtGp,High,1004.8,4.1,E,15.6,34.4,25.0,6.5278785140116655,44.06397422643222,,0,overcast
rpvuP,Mid,1170.3,12.3,SW,15.6,40.5,28.05,9.994207834285943,34.67481156424442,,0,rainy
yROZh,Mid,687.8,32.7,NE,16.7,31.4,24.049999999999997,24.09504509355165,96.74762763884311,,0,overcast
hwsAW,Low,847.3,25.6,NE,19.4,34.2,26.8,5.454828987600818,55.32814808792091,,0,rainy
odaPJ,Mid,1897.0,24.6,W,18.1,43.2,30.650000000000002,26.400481896041477,32.11641612425524,,0,sunny
ALnHM,Low,1272.3,10.8,N,17.5,33.7,25.6,43.79747642450736,81.33306063216337,,0,overcast
njuvU,High,1349.6,41.1,E,19.3,43.7,31.5,45.943716385083725,59.28888870608998,,0,sunny
GUxej,Low,1376.3,4.1,NE,16.8,33.7,25.25,13.591884904761082,46.983918397252395,,0,overcast
uTWkM,Low,2265.6,2.8,S,16.8,30.7,23.75,3.928878026179787,30.460235552077254,,0,rainy
LpvDf,High,1931.8,24.9,NE,16.1,41.9,29.0,35.83661588577794,87.64279561662042,,0,rainy
wPmIO,Mid,760.7,7.7,W,17.3,25.4,21.35,49.993169766938,62.90539368034385,,0,overcast
xrqLH,Low,2020.3,42.6,SW,16.4,40.3,28.349999999999998,15.647549283618398,29.709242045887517,,0,overcast
dJSqH,High,1531.4,40.5,N,19.7,37.1,28.4,22.50231849548535,90.65833126818589,,0,rainy
BVMCs,Mid,807.5,33.7,N,15.8,31.5,23.65,3.0033815204680545,38.317244899129676,,0,rainy
GSgwc,Low,1364.6,15.3,N,18.1,34.9,26.5,34.731149825676255,31.068918933237086,,0,overcast
VpcBW,Low,2457.6,12.3,S,19.3,40.8,30.049999999999997,13.334966663690885,27.259513420684502,,0,sunny
mYREM,High,2207.6,6.2,S,16.4,44.6,30.5,18.10069028728274,75.08262120846231,,0,sunny
KFUhb,Mid,1497.4,7.5,S,16.4,31.1,23.75,1.7581700558424185,77.88757811402581,,0,overcast
SMFPT,Low,613.1,4.9,S,17.2,29.4,23.299999999999997,26.994494679438965,52.56835369328015,,0,overcast
pkFDL,Low,2204.5,6.1,S,18.0,26.8,22.4,6.239955232514808,53.91349162723533,,0,sunny
MvDsA,Low,1131.6,19.8,W,19.0,33.0,26.0,29.760166332836384,34.696086965181735,,0,rainy
sXxtv,Mid,947.4,12.1,W,17.6,27.0,22.3,28.653272950578316,62.439482084156296,,0,rainy
CgVYZ,High,1582.4,24.8,N,19.7,31.2,25.45,36.62904304243869,99.51181204468071,,0,overcast
VLWCs,Low,2444.5,15.1,S,16.3,28.0,22.15,29.93211529821971,20.146203143131743,,0,sunny
iEJRp,High,570.5,35.2,S,17.2,29.1,23.15,49.71644882539523,47.81017213766004,,0,sunny
yPnov,Mid,717.2,50.0,W,19.2,30.5,24.85,22.18783738201376,28.43025680011863,,0,overcast
QEVmP,Mid,2301.6,45.7,S,16.3,40.3,28.299999999999997,37.95056803849587,46.330043179843244,,0,sunny
Hjbhu,High,2377.4,8.9,SW,18.0,45.0,31.5,38.87472955188272,64.28823991900236,,0,rainy
DPvwZ,High,2171.6,1.9,S,19.4,38.1,28.75,11.779643236894213,17.59550385965498,,0,overcast
bmADd,Low,740.3,28.5,S,16.0,26.5,21.25,46.8886770754484,95.93065889197516,,0,rainy
bdLTH,Mid,1066.2,26.8,NE,16.1,34.2,25.150000000000002,16.25050600957296,61.76237622048777,,0,rainy
tebTz,Mid,1771.5,16.6,S,17.4,33.3,25.349999999999998,1.0151073047334769,29.830732650380938,,0,overcast
jupgT,Mid,2173.6,49.7,NE,19.1,27.4,23.25,13.995249923287917,92.12525348612472,,0,overcast
nkUam,High,1564.2,25.5,N,17.3,26.9,22.1,29.9336616040012,70.6503713505129,,0,sunny
oJtcR,Low,738.4,33.8,E,17.5,41.6,29.55,40.39013891049736,26.783021620037264,,0,rainy
Vsnpb,Low,2036.0,31.8,NE,18.1,40.1,29.1,11.41082946332874,97.67102021402518,,0,overcast
GRdJh,Mid,880.2,40.7,W,18.3,37.0,27.65,37.66776470846942,45.51696578850766,,0,rainy
acUyl,Low,1469.9,25.5,S,16.5,34.7,25.6,27.20954615587203,32.27836637480616,,0,sunny
jIqVc,Low,1126.6,42.8,W,15.7,42.5,29.1,31.76729553294888,88.30419478968095,,0,sunny
UcpfT,Mid,653.5,36.8,SW,17.6,39.0,28.3,22.902291257102583,76.8899415918844,,0,overcast
orsVb,High,887.1,37.6,SW,16.0,42.0,29.0,2.3721875654897544,42.86240933819977,,0,sunny
iHtyL,High,1372.5,19.5,E,17.5,32.3,24.9,34.87139111974927,80.5318329063526,,0,overcast
LUlqa,High,1622.7,26.5,S,17.0,38.4,27.7,23.149698128894986,46.236987141609816,,0,rainy
bIpxS,High,1805.1,37.4,NE,20.0,38.7,29.35,12.167279342155771,24.572645279679584,,0,sunny
dwkve,Low,2388.9,43.6,W,16.6,40.6,28.6,39.87994206385329,99.48590490690033,,0,rainy
Yudhn,Mid,2185.7,40.6,NE,15.1,29.9,22.5,37.622296661508834,96.59575226314287,,0,sunny
FVnIq,Low,531.3,48.8,E,17.8,41.0,29.4,13.090830880703578,20.822388306097086,,0,sunny
kSOXo,Mid,1820.9,2.0,E,15.8,37.0,26.4,6.56341935746573,27.96976918435429,,0,rainy
VCDYH,High,1496.0,43.7,S,15.4,26.1,20.75,22.328173112073436,60.55443665720684,,0,sunny
dCkSN,Low,1376.4,17.0,E,19.0,39.9,29.45,25.836690497731546,76.16333297025338,,0,rainy
vsmiD,Low,1663.0,23.4,N,16.8,37.8,27.299999999999997,7.116716220852808,19.693436599215445,,0,sunny
jHPcd,Mid,703.8,6.9,N,19.8,25.4,22.6,37.33424705810601,20.420536287098265,,0,rainy
LkuUP,Low,1170.2,42.1,W,19.3,25.4,22.35,43.99861420176121,17.665046827920502,,0,sunny
IoqVT,High,1608.5,23.1,NE,16.7,37.8,27.25,43.25815326952151,72.62710405560561,,0,overcast
gsAPc,Low,1987.2,9.7,E,18.9,34.3,26.599999999999998,13.419562679464859,95.7404266388742,,0,sunny
sqIjU,High,2466.5,2.1,S,18.2,29.5,23.85,41.426556114412,18.936386663097082,,0,overcast
JcgCl,Mid,1771.7,41.5,SW,16.6,28.3,22.450000000000003,16.25143870288295,98.5318240723839,,0,sunny
ehrEj,High,2260.6,46.3,N,18.4,26.4,22.4,34.94536256731593,93.23683686189777,,0,rainy
oYknT,Low,1239.7,27.2,W,17.2,37.7,27.450000000000003,6.947306523233306,19.99380394720388,,0,overcast
dDpLx,Low,608.4,46.6,W,16.8,36.2,26.5,6.952645066476128,33.29644765941164,,0,rainy
TSNPp,Mid,2047.3,39.6,W,15.2,39.0,27.1,27.38031876260253,56.57916060579565,,0,sunny
iKbLC,Low,2102.9,4.5,W,16.0,27.4,21.7,9.419749011090854,62.30669682882309,,0,rainy
Mvkof,Low,803.5,22.8,E,16.2,32.2,24.200000000000003,21.276990973749967,19.81142409551757,,0,sunny
liPnO,Low,866.4,47.5,SW,16.7,39.6,28.15,5.079108316430283,85.53917026479402,,0,sunny
uspon,Mid,646.6,19.7,SW,18.1,40.3,29.2,28.08852935884028,21.646556388874828,,0,sunny
yepVD,High,2310.8,9.2,N,17.9,30.7,24.299999999999997,21.880766233876315,37.72371877967161,,0,sunny
CWesO,Mid,1439.2,18.8,E,18.6,25.1,21.85,20.672156196141028,57.384722972543415,,0,rainy
ceZgv,Mid,1694.8,31.4,E,19.7,28.3,24.0,26.480943228944014,78.51315797894695,,0,sunny
rGEyR,Low,1359.3,1.8,W,18.0,35.6,26.8,49.60815766267865,21.91589412021338,,0,sunny
teEHs,Low,2261.4,5.8,NE,19.5,27.7,23.6,46.22202417300936,50.63488271607531,,0,rainy
KqOrM,Low,1306.4,12.8,NE,18.0,29.5,23.75,44.48730972221464,56.317043011185724,,0,sunny
UfKRT,High,1342.3,7.3,N,17.0,36.6,26.8,30.918532836127884,23.403929086633028,,0,sunny
zqOiJ,Low,778.3,46.3,NE,19.6,30.3,24.950000000000003,28.80190228422477,56.31896120810621,,0,sunny
kmDOT,Mid,510.3,31.4,S,16.1,32.3,24.2,29.990252549309446,61.205989652307,,0,sunny
nUWzs,Mid,2494.7,22.3,NE,19.0,28.2,23.6,41.67022808762419,96.11068571332716,,0,sunny
jYASE,Mid,2290.7,16.1,N,16.3,42.6,29.450000000000003,28.310391329981083,17.549537072930484,,0,overcast
Bpynk,Mid,1232.5,16.1,E,18.6,42.0,30.3,19.95207962414898,34.43226464348523,,0,sunny
YCgOz,Low,1866.5,18.6,W,15.5,26.1,20.8,40.03052453413608,26.271750697709077,,0,overcast
mCNpL,Low,1625.4,33.4,E,17.0,26.6,21.8,28.82639043009531,26.702608970341657,,0,sunny
VYgfP,Mid,887.9,9.2,N,17.4,29.9,23.65,48.69838829786531,18.774721212249105,,0,overcast
OgAKH,High,640.3,4.7,E,18.0,25.1,21.55,40.30567016918255,94.74603302960226,,0,overcast
sifYS,High,1727.9,18.9,N,17.9,37.2,27.55,10.853757913970052,60.87346806041934,,0,overcast
Btise,Mid,1292.0,26.4,N,17.0,38.7,27.85,44.136828235146425,24.839894679861697,,0,rainy
QIJYg,Mid,2153.5,37.9,S,17.2,40.1,28.65,38.02509745294203,41.63746767423058,,0,overcast
hflaM,High,2094.1,18.2,S,19.3,44.5,31.9,21.620695307774028,39.810356637066036,,0,overcast
wFiDk,High,2272.1,28.2,W,19.1,26.8,22.950000000000003,23.432461847536562,62.58839882232913,,0,sunny
NDpnG,High,1660.5,41.8,E,18.8,33.3,26.049999999999997,31.649979541403727,35.81252123334011,,0,overcast
CUyGu,Mid,504.5,31.6,SW,16.8,28.4,22.6,22.05336301641503,65.41525428817059,,0,sunny
OzSbo,Mid,1104.2,49.4,E,17.0,39.3,28.15,42.19265881486159,72.56675926451882,,0,sunny
lvpwZ,Low,1140.6,19.8,W,16.6,38.0,27.3,4.802088301940795,28.013104256187148,,0,overcast
yCAtL,Mid,1780.1,18.5,NE,16.5,25.2,20.85,24.47892006056945,18.298025024004065,,0,rainy
OcIKM,Mid,1617.1,1.4,N,17.6,33.7,25.650000000000002,16.8626492415725,62.66253883407601,,0,rainy
lZeip,High,566.9,13.1,E,17.4,39.9,28.65,19.720451614279686,64.57538808876015,,0,sunny
aVvxk,Mid,1194.7,37.2,SW,19.2,36.2,27.700000000000003,15.164031950778998,42.61287276895959,,0,sunny
IykeK,Low,1049.2,25.4,W,18.6,43.9,31.25,46.60107967144851,92.47395541314862,,0,overcast
EraKH,Mid,1199.0,42.0,S,19.4,28.5,23.95,16.757200335258936,27.951913578621856,,0,overcast
wHgbp,High,1392.4,12.8,E,16.1,32.7,24.400000000000002,47.89310626474998,60.256418781482424,,0,sunny
xBMKE,High,966.9,9.9,NE,17.8,31.2,24.5,46.15644074523907,91.34578896792792,,0,rainy
uaqjx,Mid,2291.0,33.3,NE,19.4,44.8,32.099999999999994,49.95027376641489,48.51035174015208,,0,sunny
LvMZk,Low,1721.9,22.2,N,16.3,38.8,27.549999999999997,12.971308576266114,35.9769793837382,,0,sunny
TeoYP,High,1728.9,5.5,N,19.7,41.7,30.700000000000003,32.58842412278834,72.07720280113064,,0,rainy
BPQXG,Low,1276.6,47.5,W,16.1,33.9,25.0,32.945716459693784,89.66338094908451,,0,rainy
DQGtj,High,1774.8,14.6,W,16.6,34.9,25.75,19.063178844174924,76.87899813915544,,0,overcast
EVaBq,Mid,545.0,41.0,SW,15.5,35.2,25.35,10.563513729357325,22.36653511328906,,0,sunny
RWUKy,High,1592.9,5.0,E,18.4,27.0,22.7,40.85765560395696,97.48971199074553,,0,overcast
xAqbr,Mid,565.6,2.9,N,17.8,32.5,25.15,7.983487610113434,75.44632332322178,,0,sunny
UJkVe,Mid,2430.8,32.0,NE,18.9,33.6,26.25,41.62025561677756,84.59550281010729,,0,overcast
lANJZ,Mid,1840.9,41.2,W,18.0,42.2,30.1,22.453950370954846,49.06056243562451,,0,overcast
qtnTc,Mid,768.2,46.7,S,16.2,29.3,22.75,3.477654013296459,63.81501144337864,,0,rainy
mLCvI,Low,1778.5,5.6,SW,19.7,37.3,28.5,49.83751692138083,43.18824273424383,,0,rainy
grEsQ,Mid,1909.2,34.1,S,19.8,38.6,29.200000000000003,9.548061501625815,15.971059553295168,,0,sunny
biORX,Low,1930.6,40.4,NE,19.0,37.1,28.05,19.730791870070817,54.979798642335915,,0,rainy
yEPRX,Low,801.6,13.1,E,18.6,44.6,31.6,43.33807474056451,79.14285606876234,,0,overcast
ESHgy,High,1072.8,22.4,W,18.8,30.4,24.6,18.41430129894655,84.76895849138845,,0,sunny
eCtGY,High,1210.2,33.7,SW,18.3,41.5,29.9,21.043331440051876,75.21405533066367,,0,rainy
kdBRm,High,1106.5,6.1,E,17.9,42.1,30.0,14.358213268784057,42.11477862774936,,0,overcast
fDmZe,High,1794.3,5.2,NE,15.7,38.6,27.15,42.317969031386774,25.724641896183968,,0,overcast
rThix,Low,970.6,18.7,E,15.7,43.7,29.700000000000003,25.66998014879883,26.750660301709125,,0,overcast
RtMKk,Low,1921.1,37.7,NE,17.6,40.8,29.2,17.31353871115124,74.96613023646975,,0,sunny
AjxUs,Mid,691.5,13.3,SW,17.5,27.0,22.25,38.315043400987214,29.023395111128515,,0,rainy
TcGbq,High,2010.6,6.5,E,17.3,26.8,22.05,29.725943593819284,51.535734888890815,,0,sunny
IYRCw,High,701.3,42.6,N,19.2,33.7,26.450000000000003,47.97679259578957,44.93471698350611,,0,sunny
goyEs,Mid,2167.9,13.2,SW,15.7,45.0,30.35,28.035378240371053,71.4335243104768,,0,overcast
srjUI,Mid,792.6,22.5,E,16.5,44.4,30.45,49.42447127762451,57.56773367125165,,0,rainy
DtBJQ,High,999.2,7.3,NE,18.4,34.3,26.349999999999998,42.98333698201131,29.486671065355843,,0,overcast
XqHWI,Mid,2488.1,28.0,S,15.4,26.1,20.75,37.59225034092065,68.53786909356788,,0,sunny
mCjQa,High,1806.7,3.0,E,15.1,40.0,27.55,41.50832787648134,62.32808276202232,,0,sunny
GJYhN,High,1721.9,16.6,NE,17.3,43.4,30.35,12.612108911946674,52.703656954819536,,0,sunny
rhmfi,Mid,2320.0,36.7,N,16.5,28.0,22.25,45.88341185564271,32.02519452483225,,0,sunny
hMSPF,Low,2040.0,43.4,SW,16.3,35.8,26.049999999999997,35.94317837884695,76.70938244645161,,0,rainy
sIPHo,High,2189.5,29.4,SW,16.4,41.3,28.849999999999998,1.373074506877295,21.001157515414626,,0,sunny
mlXFN,High,896.2,46.4,S,19.4,34.0,26.7,16.293379244538805,23.203214039187422,,0,sunny
cagmR,Mid,1415.8,9.0,SW,18.4,26.2,22.299999999999997,44.15149444836001,44.62512675599474,,0,sunny
KHhZA,Low,2349.1,49.6,NE,17.1,34.1,25.6,41.73816615003085,61.761910333857905,,0,overcast
nKgRM,Low,2140.3,35.3,E,15.1,32.9,24.0,21.443810068596214,77.3696254769849,,0,sunny
IKNFb,Low,682.5,8.6,W,15.9,34.6,25.25,37.20361457658352,67.12594272556507,,0,sunny
prFsJ,High,501.3,45.0,NE,15.2,44.7,29.950000000000003,21.299399334707335,72.28365873825413,,0,sunny
PLyuN,Low,1736.2,28.4,W,17.8,26.7,22.25,3.218506934327896,69.20023585884553,,0,rainy
IHcwV,Low,2033.5,12.1,E,15.8,39.3,27.549999999999997,41.108983352094896,69.9915644151271,,0,overcast
hZRVv,Low,1634.1,39.8,N,15.0,25.5,20.25,44.7134180017291,96.79385167266562,,0,sunny
ULfKl,Mid,1229.7,35.7,NE,18.6,32.5,25.55,25.048079064627014,15.727018692023723,,0,rainy
vwmDZ,Low,2405.8,27.9,E,15.8,26.4,21.1,49.34803239817166,78.31158349400852,,0,sunny
ETGjf,High,1304.2,11.8,N,15.9,41.5,28.7,34.86593203405474,64.77232766382957,,0,rainy
lUGOK,Low,732.8,6.0,W,15.4,38.0,26.7,39.91091501147875,44.04937286014889,,0,sunny
Twhvi,Low,692.2,4.6,N,17.0,43.3,30.15,11.986850070065975,38.01076984540802,,0,rainy
OCLhi,Low,2170.1,24.4,E,16.7,33.1,24.9,1.8280368942020995,76.93369695839709,,0,rainy
zUslT,Low,930.5,40.5,E,16.3,39.0,27.65,38.256623499824734,63.50701792429167,,0,sunny
FsqyD,Mid,515.1,11.3,NE,16.8,42.9,29.85,44.23828310750203,47.44632767757087,,0,rainy
WSTUG,High,2280.5,21.4,SW,15.6,36.8,26.2,20.7157360020147,35.829596884638875,,0,sunny
yfFpQ,High,1175.3,39.0,SW,20.0,44.8,32.4,3.389149184428716,36.05998898783991,,0,overcast
eYlof,Low,2254.3,46.9,E,17.5,26.2,21.85,47.34918153100108,76.77674683345452,,0,overcast
OZVLW,High,1804.5,25.8,E,17.8,32.1,24.950000000000003,3.956516983440107,74.03346758487123,,0,rainy
ReplE,Mid,1299.2,39.4,E,16.5,28.8,22.65,28.814807563512026,67.65484631182241,,0,sunny
UbKkr,High,1555.6,36.2,SW,19.2,32.0,25.6,42.57198282771718,87.27991898547366,,0,sunny
aPzqR,Mid,2297.8,21.4,W,17.4,42.4,29.9,5.63280058138653,61.242753812886825,,0,overcast
SDEjJ,High,583.2,32.4,S,17.0,34.5,25.75,30.957082406679294,75.70179593833885,,0,sunny
zVHPW,High,2090.5,47.5,W,16.4,26.1,21.25,37.456051768656394,38.2124829729038,,0,sunny
EDPcV,Low,1699.8,5.6,NE,16.7,43.3,30.0,41.65141279261576,30.885242495801673,,0,overcast
ibMsZ,High,1663.0,18.3,E,19.2,32.6,25.9,11.975494477033772,35.11085017734001,,0,rainy
RdxYC,Mid,1574.7,2.9,N,16.5,38.1,27.3,35.9906392501638,53.90859523165024,,0,rainy
TkMON,Low,1849.2,24.5,W,15.6,32.4,24.0,35.70471936901545,44.34575103926457,,0,overcast
KrSaI,Low,1478.3,23.7,S,15.3,42.1,28.700000000000003,41.50532390764242,18.99684704471963,,0,overcast
MfQsD,Low,1059.8,28.0,W,16.1,26.1,21.1,46.79403684716335,36.92820470886251,,0,overcast
xbDXo,Low,2289.9,36.6,NE,16.3,35.7,26.0,2.0588440097483094,73.63933024947154,,0,overcast
wCjrM,High,882.3,31.5,N,19.9,32.3,26.099999999999998,14.00463716911039,82.15542377942067,,0,sunny
KXipB,Low,1372.4,7.0,SW,16.3,38.6,27.450000000000003,15.339398119091323,47.7436364883282,,0,rainy
AjIyD,Mid,2252.7,1.8,W,18.3,41.0,29.65,36.18475459573792,46.93263496521709,,0,sunny
UxrRi,Low,1157.6,37.0,S,19.1,37.7,28.400000000000002,12.019467343635396,81.43003523714606,,0,overcast
IBjcn,Mid,870.8,37.6,NE,15.2,33.6,24.4,14.869892914188485,35.75081792898683,,0,sunny
oJuwW,Low,1010.8,16.2,SW,19.5,38.7,29.1,33.191688857497894,68.35603840608297,,0,overcast
ZaWKE,High,2444.8,29.1,E,15.7,36.4,26.049999999999997,40.57490734275904,36.52393749192597,,0,overcast
NhKLb,Mid,712.2,11.9,E,19.1,35.2,27.150000000000002,40.92521681354496,26.60197744897153,,0,rainy
eDzod,Mid,1945.9,29.2,E,19.8,44.2,32.0,7.337601363403604,46.92176024901849,,0,sunny
DZlJY,High,1718.2,2.0,W,16.7,25.2,20.95,35.0670547234881,81.34775435775275,,0,overcast
GdyuD,Mid,1612.2,4.8,SW,15.5,27.9,21.7,30.338886891152047,47.14176505596886,,0,overcast
CDPHa,Low,2410.1,45.6,N,19.0,31.3,25.15,9.61936534356193,98.31386562340074,,0,overcast
Wtegx,Mid,1766.0,27.0,SW,19.0,38.0,28.5,8.888898819871349,91.79596819911242,,0,sunny
qGulN,High,2326.9,29.1,W,17.1,35.0,26.05,1.9920437134302689,71.73002135274578,,0,rainy
cvTGV,High,2427.6,3.3,N,15.3,41.2,28.25,15.38337716987346,66.00145056247018,,0,sunny
ZXCOJ,Low,899.9,6.2,NE,19.1,31.7,25.4,18.850991607058358,43.14415064018377,,0,rainy
QCwSa,Low,780.5,4.6,S,18.4,38.8,28.599999999999998,38.81069893665741,58.882340803056145,,0,rainy
tnOzf,Mid,1629.4,36.6,S,18.9,27.2,23.049999999999997,27.26369817742153,75.73389432339692,,0,sunny
fzSpE,Mid,2201.6,10.8,N,19.6,26.2,22.9,43.64516775289814,24.43778254735783,,0,rainy
iraoT,High,1376.4,29.1,S,15.0,40.5,27.75,46.75284476249687,30.267061873184737,,0,overcast
KBsbp,Low,1373.4,3.2,S,17.0,36.3,26.65,17.95312628923445,29.58085454986869,,0,rainy
JNpys,High,1334.2,34.2,N,19.4,32.9,26.15,13.966915319353438,15.359046321618067,,0,sunny
SkPqe,Mid,1323.8,34.9,SW,18.1,26.7,22.4,25.65215095896758,29.402025427933864,,0,sunny
yPDfS,High,608.6,4.9,E,15.2,38.0,26.6,22.608818859595793,46.63622728583537,,0,overcast
PEnsc,Low,1933.3,13.8,W,17.1,44.9,31.0,43.045704726015984,61.465988122810415,,0,sunny
mLTxU,High,2193.2,1.2,W,19.6,39.9,29.75,27.409113314262502,79.08943301787845,,0,rainy
dZJSt,High,968.5,28.0,W,19.0,25.4,22.2,1.4724906160300009,80.76509222479892,,0,sunny
nyEuV,Mid,2327.2,29.4,S,17.1,43.1,30.1,36.67328422655822,95.0301570886931,,0,rainy
IiXae,High,956.8,47.2,S,16.9,34.6,25.75,12.653175483700483,41.42636021175515,,0,sunny
ZAPdM,Low,1192.3,14.6,E,19.2,42.4,30.799999999999997,38.91347707211784,66.20807327671743,,0,rainy
glasd,Low,1942.7,21.2,E,19.5,42.4,30.95,8.821095176352234,74.52784160636773,,0,rainy
